# AWS EC2 instance-type catalogue — node capacity source for synthkit.
# captured: ec2-instance-selector -o table-wide --max-results 5000 (tool v3.1.3) on 2026-06-14
# columns: instance_type,vcpu,mem_gib,arch,network,enis,ipv4_per_eni
c7a.2xlarge,8,16,x86_64,Up to 12.5 Gigabit,4,15
c7a.32xlarge,128,256,x86_64,50 Gigabit,15,50
c7a.48xlarge,192,384,x86_64,50 Gigabit,15,50
c7a.4xlarge,16,32,x86_64,Up to 12.5 Gigabit,8,30
c7a.8xlarge,32,64,x86_64,12.5 Gigabit,8,30
c7a.large,2,4,x86_64,Up to 12.5 Gigabit,3,10
c7a.medium,1,2,x86_64,Up to 12.5 Gigabit,2,4
c7a.metal-48xl,192,384,x86_64,50 Gigabit,15,50
c7a.xlarge,4,8,x86_64,Up to 12.5 Gigabit,4,15
c7g.12xlarge,48,96,arm64,22.5 Gigabit,8,30
c7g.16xlarge,64,128,arm64,30 Gigabit,15,50
c7g.2xlarge,8,16,arm64,Up to 15 Gigabit,4,15
c7g.4xlarge,16,32,arm64,Up to 15 Gigabit,8,30
c7g.8xlarge,32,64,arm64,15 Gigabit,8,30
c7g.large,2,4,arm64,Up to 12.5 Gigabit,3,10
c7g.medium,1,2,arm64,Up to 12.5 Gigabit,2,4
c7g.metal,64,128,arm64,30 Gigabit,15,50
c7g.xlarge,4,8,arm64,Up to 12.5 Gigabit,4,15
c7gd.12xlarge,48,96,arm64,22.5 Gigabit,8,30
c7gd.16xlarge,64,128,arm64,30 Gigabit,15,50
c7gd.2xlarge,8,16,arm64,Up to 15 Gigabit,4,15
c7gd.4xlarge,16,32,arm64,Up to 15 Gigabit,8,30
c7gd.8xlarge,32,64,arm64,15 Gigabit,8,30
c7gd.large,2,4,arm64,Up to 12.5 Gigabit,3,10
c7gd.medium,1,2,arm64,Up to 12.5 Gigabit,2,4
c7gd.metal,64,128,arm64,30 Gigabit,15,50
c7gd.xlarge,4,8,arm64,Up to 12.5 Gigabit,4,15
c7gn.12xlarge,48,96,arm64,150 Gigabit,8,30
c7gn.16xlarge,64,128,arm64,200 Gigabit,15,50
c7gn.2xlarge,8,16,arm64,Up to 50 Gigabit,4,15
c7gn.4xlarge,16,32,arm64,50 Gigabit,8,30
c7gn.8xlarge,32,64,arm64,100 Gigabit,8,30
c7gn.large,2,4,arm64,Up to 30 Gigabit,3,10
c7gn.medium,1,2,arm64,Up to 25 Gigabit,2,4
c7gn.metal,64,128,arm64,200 Gigabit,15,50
c7gn.xlarge,4,8,arm64,Up to 40 Gigabit,4,15
c7i-flex.12xlarge,48,96,x86_64,Up to 18.75 Gigabit,8,30
c7i-flex.16xlarge,64,128,x86_64,Up to 25 Gigabit,15,50
c7i-flex.2xlarge,8,16,x86_64,Up to 12.5 Gigabit,4,15
c7i-flex.4xlarge,16,32,x86_64,Up to 12.5 Gigabit,8,30
c7i-flex.8xlarge,32,64,x86_64,Up to 12.5 Gigabit,8,30
c7i-flex.large,2,4,x86_64,Up to 12.5 Gigabit,3,10
c7i-flex.xlarge,4,8,x86_64,Up to 12.5 Gigabit,4,15
c7i.12xlarge,48,96,x86_64,18.75 Gigabit,8,30
c7i.16xlarge,64,128,x86_64,25 Gigabit,15,50
c7i.24xlarge,96,192,x86_64,37.5 Gigabit,15,50
c7i.2xlarge,8,16,x86_64,Up to 12.5 Gigabit,4,15
c7i.48xlarge,192,384,x86_64,50 Gigabit,15,50
c7i.4xlarge,16,32,x86_64,Up to 12.5 Gigabit,8,30
c7i.8xlarge,32,64,x86_64,12.5 Gigabit,8,30
c7i.large,2,4,x86_64,Up to 12.5 Gigabit,3,10
