# AWS EC2 instance-type catalogue — node capacity source for synthkit.
# captured: ec2-instance-selector -o table-wide --max-results 5000 (tool v3.1.3) on 2026-06-14
# columns: instance_type,vcpu,mem_gib,arch,network,enis,ipv4_per_eni
r7g.metal,64,512,arm64,30 Gigabit,15,50
r7g.xlarge,4,32,arm64,Up to 12.5 Gigabit,4,15
r7gd.12xlarge,48,384,arm64,22.5 Gigabit,8,30
r7gd.16xlarge,64,512,arm64,30 Gigabit,15,50
r7gd.2xlarge,8,64,arm64,Up to 15 Gigabit,4,15
r7gd.4xlarge,16,128,arm64,Up to 15 Gigabit,8,30
r7gd.8xlarge,32,256,arm64,15 Gigabit,8,30
r7gd.large,2,16,arm64,Up to 12.5 Gigabit,3,10
r7gd.medium,1,8,arm64,Up to 12.5 Gigabit,2,4
r7gd.metal,64,512,arm64,30 Gigabit,15,50
r7gd.xlarge,4,32,arm64,Up to 12.5 Gigabit,4,15
r7i.12xlarge,48,384,x86_64,18.75 Gigabit,8,30
r7i.16xlarge,64,512,x86_64,25 Gigabit,15,50
r7i.24xlarge,96,768,x86_64,37.5 Gigabit,15,50
r7i.2xlarge,8,64,x86_64,Up to 12.5 Gigabit,4,15
r7i.48xlarge,192,"1,536",x86_64,50 Gigabit,15,50
r7i.4xlarge,16,128,x86_64,Up to 12.5 Gigabit,8,30
r7i.8xlarge,32,256,x86_64,12.5 Gigabit,8,30
r7i.large,2,16,x86_64,Up to 12.5 Gigabit,3,10
r7i.metal-24xl,96,768,x86_64,37.5 Gigabit,15,50
r7i.metal-48xl,192,"1,536",x86_64,50 Gigabit,15,50
r7i.xlarge,4,32,x86_64,Up to 12.5 Gigabit,4,15
r7iz.12xlarge,48,384,x86_64,25 Gigabit,8,30
r7iz.16xlarge,64,512,x86_64,25 Gigabit,15,50
r7iz.2xlarge,8,64,x86_64,Up to 12.5 Gigabit,4,15
r7iz.32xlarge,128,"1,024",x86_64,50 Gigabit,15,50
r7iz.4xlarge,16,128,x86_64,Up to 12.5 Gigabit,8,30
r7iz.8xlarge,32,256,x86_64,12.5 Gigabit,8,30
r7iz.large,2,16,x86_64,Up to 12.5 Gigabit,3,10
r7iz.metal-16xl,64,512,x86_64,25 Gigabit,15,50
r7iz.metal-32xl,128,"1,024",x86_64,50 Gigabit,15,50
r7iz.xlarge,4,32,x86_64,Up to 12.5 Gigabit,4,15
r8a.12xlarge,48,384,x86_64,22.5 Gigabit,12,64
r8a.16xlarge,64,512,x86_64,30 Gigabit,16,64
r8a.24xlarge,96,768,x86_64,40 Gigabit,16,64
r8a.2xlarge,8,64,x86_64,Up to 15 Gigabit,4,40
r8a.48xlarge,192,"1,536",x86_64,75 Gigabit,24,64
r8a.4xlarge,16,128,x86_64,Up to 15 Gigabit,8,40
r8a.8xlarge,32,256,x86_64,15 Gigabit,10,40
r8a.large,2,16,x86_64,Up to 12.5 Gigabit,3,20
r8a.medium,1,8,x86_64,Up to 12.5 Gigabit,2,4
r8a.metal-24xl,96,768,x86_64,40 Gigabit,16,64
r8a.metal-48xl,192,"1,536",x86_64,75 Gigabit,24,64
r8a.xlarge,4,32,x86_64,Up to 12.5 Gigabit,4,20
r8g.12xlarge,48,384,arm64,22.5 Gigabit,8,30
r8g.16xlarge,64,512,arm64,30 Gigabit,15,50
r8g.24xlarge,96,768,arm64,40 Gigabit,15,50
r8g.2xlarge,8,64,arm64,Up to 15 Gigabit,4,15
r8g.48xlarge,192,"1,536",arm64,50 Gigabit,15,50
r8g.4xlarge,16,128,arm64,Up to 15 Gigabit,8,30
r8g.8xlarge,32,256,arm64,15 Gigabit,8,30
r8g.large,2,16,arm64,Up to 12.5 Gigabit,3,10
r8g.medium,1,8,arm64,Up to 12.5 Gigabit,2,4
r8g.metal-24xl,96,768,arm64,40 Gigabit,15,50
r8g.metal-48xl,192,"1,536",arm64,50 Gigabit,15,50
r8g.xlarge,4,32,arm64,Up to 12.5 Gigabit,4,15
r8gd.12xlarge,48,384,arm64,22.5 Gigabit,8,30
r8gd.16xlarge,64,512,arm64,30 Gigabit,15,50
r8gd.24xlarge,96,768,arm64,40 Gigabit,15,50
r8gd.2xlarge,8,64,arm64,Up to 15 Gigabit,4,15
r8gd.48xlarge,192,"1,536",arm64,50 Gigabit,15,50
r8gd.4xlarge,16,128,arm64,Up to 15 Gigabit,8,30
r8gd.8xlarge,32,256,arm64,15 Gigabit,8,30
r8gd.large,2,16,arm64,Up to 12.5 Gigabit,3,10
r8gd.medium,1,8,arm64,Up to 12.5 Gigabit,2,4
r8gd.metal-24xl,96,768,arm64,40 Gigabit,15,50
r8gd.metal-48xl,192,"1,536",arm64,50 Gigabit,15,50
r8gd.xlarge,4,32,arm64,Up to 12.5 Gigabit,4,15
r8i-flex.12xlarge,48,384,x86_64,Up to 22.5 Gigabit,12,50
r8i-flex.16xlarge,64,512,x86_64,Up to 30 Gigabit,16,64
r8i-flex.2xlarge,8,64,x86_64,Up to 15 Gigabit,4,30
r8i-flex.4xlarge,16,128,x86_64,Up to 15 Gigabit,8,50
r8i-flex.8xlarge,32,256,x86_64,Up to 15 Gigabit,10,50
r8i-flex.large,2,16,x86_64,Up to 12.5 Gigabit,3,20
r8i-flex.xlarge,4,32,x86_64,Up to 12.5 Gigabit,4,30
r8i.12xlarge,48,384,x86_64,22.5 Gigabit,12,50
r8i.16xlarge,64,512,x86_64,30 Gigabit,16,64
r8i.24xlarge,96,768,x86_64,40 Gigabit,16,64
r8i.2xlarge,8,64,x86_64,Up to 15 Gigabit,4,30
r8i.32xlarge,128,"1,024",x86_64,50 Gigabit,24,64
r8i.48xlarge,192,"1,536",x86_64,75 Gigabit,24,64
r8i.4xlarge,16,128,x86_64,Up to 15 Gigabit,8,50
r8i.8xlarge,32,256,x86_64,15 Gigabit,10,50
r8i.96xlarge,384,"3,072",x86_64,100 Gigabit,24,64
r8i.large,2,16,x86_64,Up to 12.5 Gigabit,3,20
r8i.metal-48xl,192,"1,536",x86_64,75 Gigabit,24,64
r8i.metal-96xl,384,"3,072",x86_64,100 Gigabit,24,64
r8i.xlarge,4,32,x86_64,Up to 12.5 Gigabit,4,30
t1.micro,1,0.6123,"i386, x86_64",Very Low,2,2
t2.2xlarge,8,32,x86_64,Moderate,3,15
t2.large,2,8,x86_64,Low to Moderate,3,12
t2.medium,2,4,"i386, x86_64",Low to Moderate,3,6
t2.micro,1,1,"i386, x86_64",Low to Moderate,2,2
t2.nano,1,0.5,"i386, x86_64",Low to Moderate,2,2
t2.small,1,2,"i386, x86_64",Low to Moderate,3,4
t2.xlarge,4,16,x86_64,Moderate,3,15
t3.2xlarge,8,32,x86_64,Up to 5 Gigabit,4,15
t3.large,2,8,x86_64,Up to 5 Gigabit,3,12
t3.medium,2,4,x86_64,Up to 5 Gigabit,3,6
t3.micro,2,1,x86_64,Up to 5 Gigabit,2,2
t3.nano,2,0.5,x86_64,Up to 5 Gigabit,2,2
t3.small,2,2,x86_64,Up to 5 Gigabit,3,4
t3.xlarge,4,16,x86_64,Up to 5 Gigabit,4,15
t3a.2xlarge,8,32,x86_64,Up to 5 Gigabit,4,15
t3a.large,2,8,x86_64,Up to 5 Gigabit,3,12
t3a.medium,2,4,x86_64,Up to 5 Gigabit,3,6
t3a.micro,2,1,x86_64,Up to 5 Gigabit,2,2
t3a.nano,2,0.5,x86_64,Up to 5 Gigabit,2,2
t3a.small,2,2,x86_64,Up to 5 Gigabit,2,4
t3a.xlarge,4,16,x86_64,Up to 5 Gigabit,4,15
t4g.2xlarge,8,32,arm64,Up to 5 Gigabit,4,15
t4g.large,2,8,arm64,Up to 5 Gigabit,3,12
t4g.medium,2,4,arm64,Up to 5 Gigabit,3,6
t4g.micro,2,1,arm64,Up to 5 Gigabit,2,2
t4g.nano,2,0.5,arm64,Up to 5 Gigabit,2,2
t4g.small,2,2,arm64,Up to 5 Gigabit,3,4
t4g.xlarge,4,16,arm64,Up to 5 Gigabit,4,15
u-3tb1.56xlarge,224,"3,072",x86_64,50 Gigabit,8,30
u-6tb1.112xlarge,448,"6,144",x86_64,100 Gigabit,15,50
u-6tb1.56xlarge,224,"6,144",x86_64,100 Gigabit,15,50
u7i-12tb.224xlarge,896,"12,288",x86_64,100 Gigabit,15,50
u7i-6tb.112xlarge,448,"6,144",x86_64,100 Gigabit,15,50
u7i-8tb.112xlarge,448,"8,192",x86_64,100 Gigabit,15,50
u7in-16tb.224xlarge,896,"16,384",x86_64,200 Gigabit,16,50
vt1.24xlarge,96,192,x86_64,25 Gigabit,15,50
vt1.3xlarge,12,24,x86_64,3.12 Gigabit,4,15
vt1.6xlarge,24,48,x86_64,6.25 Gigabit,8,30
x1.16xlarge,64,976,x86_64,10 Gigabit,8,30
x1.32xlarge,128,"1,952",x86_64,25 Gigabit,8,30
x1e.16xlarge,64,"1,952",x86_64,10 Gigabit,8,30
x1e.2xlarge,8,244,x86_64,Up to 10 Gigabit,4,15
x1e.32xlarge,128,"3,904",x86_64,25 Gigabit,8,30
x1e.4xlarge,16,488,x86_64,Up to 10 Gigabit,4,15
x1e.8xlarge,32,976,x86_64,Up to 10 Gigabit,4,15
x1e.xlarge,4,122,x86_64,Up to 10 Gigabit,3,10
x2gd.12xlarge,48,768,arm64,20 Gigabit,8,30
x2gd.16xlarge,64,"1,024",arm64,25 Gigabit,15,50
x2gd.2xlarge,8,128,arm64,Up to 10 Gigabit,4,15
x2gd.4xlarge,16,256,arm64,Up to 10 Gigabit,8,30
x2gd.8xlarge,32,512,arm64,12 Gigabit,8,30
x2gd.large,2,32,arm64,Up to 10 Gigabit,3,10
x2gd.medium,1,16,arm64,Up to 10 Gigabit,2,4
x2gd.metal,64,"1,024",arm64,25 Gigabit,15,50
x2gd.xlarge,4,64,arm64,Up to 10 Gigabit,4,15
x2idn.16xlarge,64,"1,024",x86_64,50 Gigabit,15,50
x2idn.24xlarge,96,"1,536",x86_64,75 Gigabit,15,50
x2idn.32xlarge,128,"2,048",x86_64,100 Gigabit,15,50
x2idn.metal,128,"2,048",x86_64,100 Gigabit,15,50
x2iedn.16xlarge,64,"2,048",x86_64,50 Gigabit,15,50
x2iedn.24xlarge,96,"3,072",x86_64,75 Gigabit,15,50
x2iedn.2xlarge,8,256,x86_64,Up to 25 Gigabit,4,15
x2iedn.32xlarge,128,"4,096",x86_64,100 Gigabit,15,50
x2iedn.4xlarge,16,512,x86_64,Up to 25 Gigabit,8,30
x2iedn.8xlarge,32,"1,024",x86_64,25 Gigabit,8,30
x2iedn.metal,128,"4,096",x86_64,100 Gigabit,15,50
x2iedn.xlarge,4,128,x86_64,Up to 25 Gigabit,4,15
x2iezn.12xlarge,48,"1,536",x86_64,100 Gigabit,15,50
x2iezn.2xlarge,8,256,x86_64,Up to 25 Gigabit,4,15
x2iezn.4xlarge,16,512,x86_64,Up to 25 Gigabit,8,30
x2iezn.6xlarge,24,768,x86_64,50 Gigabit,8,30
x2iezn.8xlarge,32,"1,024",x86_64,75 Gigabit,8,30
x2iezn.metal,48,"1,536",x86_64,100 Gigabit,15,50
x8aedz.12xlarge,48,"1,536",x86_64,37.5 Gigabit,16,64
x8aedz.24xlarge,96,"3,072",x86_64,75 Gigabit,16,64
x8aedz.3xlarge,12,384,x86_64,Up to 18.75 Gigabit,8,40
x8aedz.6xlarge,24,768,x86_64,18.75 Gigabit,8,40
x8aedz.large,2,64,x86_64,Up to 18.75 Gigabit,4,20
x8aedz.metal-12xl,48,"1,536",x86_64,37.5 Gigabit,16,64
x8aedz.metal-24xl,96,"3,072",x86_64,75 Gigabit,16,64
x8aedz.xlarge,4,128,x86_64,Up to 18.75 Gigabit,4,20
x8g.12xlarge,48,768,arm64,22.5 Gigabit,8,30
x8g.16xlarge,64,"1,024",arm64,30 Gigabit,15,50
x8g.24xlarge,96,"1,536",arm64,40 Gigabit,15,50
x8g.2xlarge,8,128,arm64,Up to 15 Gigabit,4,15
x8g.48xlarge,192,"3,072",arm64,50 Gigabit,15,50
x8g.4xlarge,16,256,arm64,Up to 15 Gigabit,8,30
x8g.8xlarge,32,512,arm64,15 Gigabit,8,30
x8g.large,2,32,arm64,Up to 12.5 Gigabit,3,10
x8g.medium,1,16,arm64,Up to 12.5 Gigabit,2,4
x8g.metal-24xl,96,"1,536",arm64,40 Gigabit,15,50
x8g.metal-48xl,192,"3,072",arm64,50 Gigabit,15,50
x8g.xlarge,4,64,arm64,Up to 12.5 Gigabit,4,15
x8i.12xlarge,48,768,x86_64,22.5 Gigabit,12,50
x8i.16xlarge,64,"1,024",x86_64,30 Gigabit,16,64
x8i.24xlarge,96,"1,536",x86_64,40 Gigabit,16,64
x8i.2xlarge,8,128,x86_64,Up to 15 Gigabit,4,30
x8i.32xlarge,128,"2,048",x86_64,50 Gigabit,24,64
x8i.48xlarge,192,"3,072",x86_64,75 Gigabit,24,64
x8i.4xlarge,16,256,x86_64,Up to 15 Gigabit,8,50
x8i.64xlarge,256,"4,096",x86_64,80 Gigabit,24,64
x8i.8xlarge,32,512,x86_64,15 Gigabit,10,50
x8i.96xlarge,384,"6,144",x86_64,100 Gigabit,24,64
x8i.large,2,32,x86_64,Up to 12.5 Gigabit,3,20
x8i.metal-48xl,192,"3,072",x86_64,75 Gigabit,24,64
x8i.metal-96xl,384,"6,144",x86_64,100 Gigabit,24,64
x8i.xlarge,4,64,x86_64,Up to 12.5 Gigabit,4,30
z1d.12xlarge,48,384,x86_64,25 Gigabit,15,50
z1d.2xlarge,8,64,x86_64,Up to 10 Gigabit,4,15
z1d.3xlarge,12,96,x86_64,Up to 10 Gigabit,8,30
z1d.6xlarge,24,192,x86_64,12 Gigabit,8,30
z1d.large,2,16,x86_64,Up to 10 Gigabit,3,10
z1d.metal,48,384,x86_64,25 Gigabit,15,50
z1d.xlarge,4,32,x86_64,Up to 10 Gigabit,4,15
